Effective.date,S.P.500,Narcissus.Core.Equity.Sustainability.Fund..NAV.in...,Pietro.Advisory.Sustainable.Large.Cap.ETF..NAV.in...,Dow.Jones.U.S..Large.Cap.Total.Stock.Market.Index,S.P.500.Energy..Sector.,S.P.500.Utilities..Sector.,Effective.date,S.P.500.Communication.Services..Sector.,S.P.500.Consumer.Discretionary..Sector.,S.P.500.Consumer.Staples..Sector.,S.P.500.Financials..Sector.,S.P.500.Health.Care..Sector.,S.P.500.Industrials..Sector.,S.P.500.Information.Technology..Sector.,S.P.500.Materials..Sector.,S.P.500.Real.Estate..Sector.
1/12/2016,2191.08,44.78,67.7,5136.37,546.15,233.75,1/12/2016,163.87,649.11,513.32,378.72,786.12,540.54,777.69,312.53,180.41
3/1/2017,2257.83,45.88,69.77,5290.67,560.9,246.09,3/1/2017,179.97,651.81,533.32,390.31,808.04,541.64,815.12,314.36,190.98
1/2/2017,2279.55,46.97,70.57,5350.35,530.33,245.5,1/2/2017,169.22,673.74,536.44,387.15,819.85,544.66,849.35,328.35,187.82
1/3/2017,2395.96,47.24,74.2,5621.34,530.4,259.02,1/3/2017,170.55,694.13,567.94,417.94,873.61,573.26,897.1,334.11,197.75
3/4/2017,2358.84,47.86,73.11,5533.01,513.13,260.25,3/4/2017,168.35,697.05,560.92,393.43,860.53,558.4,904.89,327.44,195.62
1/5/2017,2388.33,48.46,74.08,5607.71,497.84,260.45,1/5/2017,159.07,717.23,563.65,392.76,873.55,567.3,936.19,332.77,196.59
1/6/2017,2430.06,48.93,75.47,5705.93,482.37,273.64,1/6/2017,159.71,730,585.77,389.85,887.94,579.88,969.59,335.88,197
3/7/2017,2429.01,49.85,75.38,5703.51,487.49,262.35,3/7/2017,155.36,712.74,566.18,415.07,918.32,586.37,932.29,340.48,200.89
1/8/2017,2476.35,50.12,76.85,5811.11,489.87,271.39,1/8/2017,162.32,728.23,568.49,419.54,921.07,581.73,985.56,342.59,202.02
1/9/2017,2476.55,51.1,76.97,5814.4,465.36,276.45,1/9/2017,156.92,715.39,564.14,410.24,937.49,582.9,1011.68,346.85,202.82
2/10/2017,2529.12,52.31,78.47,5938.39,506.63,269.57,2/10/2017,162.2,718.76,554.28,432.89,955.32,608.67,1018.94,360.05,198.39
1/11/2017,2579.36,51.29,79.99,6053.87,508.54,277.78,1/11/2017,147.59,732.48,548.13,442.19,940.2,604.91,1097.08,371.92,200.44
1/12/2017,2642.22,51.34,81.94,6201.86,513.33,284.51,1/12/2017,157.69,767.92,577.48,456.61,961.86,619.37,1100.23,369.27,206.29
2/1/2018,2695.81,54.08,83.45,6326.66,542.91,265.04,2/1/2018,166.45,797.21,584.18,463.66,968.1,642.65,1121.81,384.63,202.66
1/2/2018,2821.98,52.04,87.17,6618.78,559.54,254.97,1/2/2018,169.09,848.64,592.95,498.36,1019.42,670.05,1189.53,389.06,196.19
1/3/2018,2677.67,51.71,82.9,6284.48,489.87,247.55,1/3/2018,152.93,818.88,547.07,470.02,956.83,630.39,1168.35,369.05,184.94
2/4/2018,2581.88,52.47,80.07,6069.15,488.35,254.21,2/4/2018,149.46,784.11,528.46,447.8,921.22,612.04,1113.28,348.61,189.62
1/5/2018,2654.8,53.01,82.2,6236.95,541.54,260.66,1/5/2018,147.1,826.64,512.69,455.74,951.54,604.39,1158.7,356.67,191.89
1/6/2018,2734.62,53.69,84.58,6429.37,561.37,253.02,1/6/2018,145.23,846.58,507.88,455.23,962.68,630.67,1247.55,368.82,195.13
2/7/2018,2726.71,56.64,84.44,6415.67,552.86,265.39,2/7/2018,148.46,871.65,526.29,444.07,969.31,603.27,1230.67,361.98,200.9
1/8/2018,2813.36,58.4,87.09,6609.83,561.58,265.88,1/8/2018,149.49,881.23,544.76,463.83,1028.91,637.5,1255.48,370.74,205.34
4/9/2018,2896.72,58.57,89.74,6811.11,546.02,271.17,4/9/2018,152.27,931.51,550.25,471.81,1063.58,645.69,1323.19,368.59,206.58
1/10/2018,2924.59,55.69,90.41,6866.85,569.13,266.47,1/10/2018,160.38,936.39,554.55,459.77,1107.28,665.01,1328.55,366.91,200.14
1/11/2018,2740.37,53.89,84.86,6429.69,501.52,270.94,1/11/2018,151.09,850.53,569.41,437.83,1040.12,597.61,1230.27,338.6,199.27
3/12/2018,2790.37,49.53,86.34,6545.18,497.52,283.19,3/12/2018,149.98,872.44,575.92,449.2,1101.62,614.95,1215.03,347.07,209.64
